Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Under 30,Gender,Senior Citizen,Married,Dependents,Number of Dependents
Yes,10,70,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,80.15,5600.15,0,257.61,1685.6,Yes,Male,No,Yes,No,0
Yes,3,7,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,71.35,515.75,0,129,349.86,No,Male,No,Yes,Yes,2
No,0,10,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.25,202.5,0,0,131.6,Yes,Male,No,No,No,0
Yes,10,2,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,90.35,190.5,0,101,9.3,Yes,Female,No,Yes,No,0
No,0,66,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.7,1253.8,0,0,3005.64,No,Male,No,No,No,0
No,0,3,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,57.2,0,0,9.36,Yes,Female,No,No,No,0
Yes,9,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,90.35,6563.4,0,0,691.2,No,Female,No,Yes,No,0
No,0,1,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.8,20.8,0,0,48.14,No,Male,No,No,No,0
Yes,6,72,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,Two Year,No,Bank Withdrawal,66.85,4758.8,0,952,1054.8,No,Female,No,Yes,No,0
Yes,2,65,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.9,1292.6,0,0,1174.55,No,Male,No,Yes,No,0
No,0,11,No,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,35.8,363.15,0,0,0,Yes,Female,No,No,No,0
No,0,22,Yes,Yes,Yes,Cable,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,78.85,1600.25,0,160,667.7,No,Male,No,No,No,0
No,0,14,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.4,275.7,0,0,509.88,Yes,Male,No,No,No,0
No,0,41,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.25,3089.1,0,0,44.28,No,Male,No,No,No,0
Yes,2,17,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,No,One Year,No,Credit Card,64.8,1175.6,0,129,770.95,No,Male,No,Yes,No,0
No,0,11,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.45,237.3,0,0,489.83,No,Male,No,No,No,0
Yes,5,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,110.65,8065.65,0,0,2967.12,Yes,Female,No,Yes,No,0
Yes,6,3,No,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,40.3,92.5,0,0,0,No,Female,No,Yes,Yes,3
Yes,7,59,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Credit Card,107,6152.3,0,2953,2427.85,Yes,Female,No,Yes,No,0
Yes,4,71,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,73.35,5154.5,0,0,1153.04,No,Male,No,Yes,No,0
Yes,10,5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.8,220.45,0,0,178,No,Female,No,Yes,Yes,2
Yes,5,27,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,54.75,1510.3,0,800,977.13,No,Male,No,Yes,Yes,6
No,0,63,No,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,No,One Year,Yes,Bank Withdrawal,40.6,2588.95,0,725,0,No,Male,No,No,No,0
Yes,5,72,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,55.3,3983.6,0,0,1745.28,No,Male,No,Yes,No,0
Yes,5,34,Yes,Yes,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.85,2003.6,0,0,418.2,No,Female,No,Yes,No,0
Yes,4,24,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,78.4,1832.4,0,220,758.88,No,Female,No,Yes,No,0
No,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,No,Two Year,No,Bank Withdrawal,69.65,4908.25,0,638,263.52,No,Male,No,No,No,0
Yes,1,60,No,No,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,59.85,3590.2,0,0,0,No,Female,No,Yes,No,0
No,0,68,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Credit Card,76.9,5023,0,0,86.36,No,Male,No,No,No,0
Yes,8,8,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.85,146.6,0,0,136.72,No,Female,No,Yes,No,0
No,0,34,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,67.65,2339.3,0,0,705.5,Yes,Female,No,No,No,0
No,0,6,No,No,Yes,DSL,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card,45,298.7,0,155,0,Yes,Female,No,No,No,0
Yes,2,2,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,64.2,143.65,0,37,8.82,No,Male,No,Yes,No,0
No,0,31,Yes,Yes,Yes,DSL,No,No,No,Yes,No,No,No,No,One Year,No,Credit Card,81.7,2548.65,0,1937,532.58,Yes,Male,No,No,No,0
Yes,6,20,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,25.55,507.4,0,0,737,No,Female,No,Yes,Yes,7
Yes,4,1,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20,20,0,0,6.86,Yes,Female,No,Yes,Yes,3
Yes,7,39,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,23.8,903.8,0,0,1152.84,No,Male,No,Yes,No,0
Yes,1,46,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,64.2,3009.5,0,0,1702.92,No,Female,No,Yes,No,0
Yes,5,72,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,76.8,5468.45,0,0,3129.84,No,Female,No,Yes,No,0
No,0,18,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,55.2,1058.1,0,0,858.96,No,Male,No,No,No,0
Yes,10,71,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,108.55,7616,0,0,2269.87,Yes,Male,No,Yes,No,0
Yes,9,42,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,25.25,1108.2,0,0,1412.46,No,Female,No,Yes,No,0
No,0,34,No,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,30.4,938.65,0,0,0,Yes,Male,No,Yes,No,0
No,0,25,Yes,Yes,Yes,DSL,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,84.6,2088.05,0,1232,239.25,Yes,Female,No,No,No,0
Yes,10,55,Yes,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.7,5656.75,0,0,1927.2,No,Female,No,Yes,Yes,3
Yes,9,70,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,88,5986.45,0,3053,649.6,No,Male,No,Yes,No,0
Yes,3,61,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,106.35,6751.35,0,0,1685.43,No,Female,No,Yes,No,0
Yes,1,43,Yes,No,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,79.15,3566.6,0,642,1766.44,No,Male,No,Yes,No,0
No,0,47,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.1,4889.3,0,391,782.08,No,Male,No,No,No,0
No,0,5,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,63.95,318.1,0,0,69.8,No,Male,No,No,No,0
No,0,62,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.8,1563.95,0,0,510.26,No,Female,No,No,No,0
Yes,1,14,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,25.55,372.45,0,0,443.8,No,Female,No,Yes,Yes,1
Yes,2,34,No,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,1442.6,0,0,0,No,Male,No,Yes,Yes,3
Yes,9,38,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.05,963.95,0,0,1257.8,No,Male,No,Yes,Yes,1
Yes,7,70,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,No,One Year,No,Credit Card,74.1,5222.3,0,1097,1337,No,Female,No,Yes,No,0
Yes,3,37,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,3340.55,0,534,39.96,No,Female,No,Yes,Yes,2
No,0,62,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,71.4,4487.3,0,0,871.1,No,Male,No,Yes,No,0
No,0,36,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,79.2,2854.95,0,1485,1530.36,Yes,Male,No,No,No,0
No,0,44,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.4,905.55,0,0,61.6,No,Male,No,No,No,0
Yes,7,72,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,105,7589.8,0,0,473.76,No,Female,No,Yes,No,0
No,0,13,No,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,30.85,394.1,0,28,0,No,Female,No,No,No,0
Yes,7,15,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.55,295.95,0,0,519.45,Yes,Female,No,Yes,No,0
No,0,65,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,84.85,5459.2,0,0,2713.1,No,Female,No,No,No,0
Yes,7,12,No,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Credit Card,33.15,444.75,0,0,0,No,Female,No,Yes,No,0
Yes,8,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,92,6782.15,0,0,383.04,No,Male,No,Yes,No,0
Yes,3,72,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,89.8,6510.45,0,4492,3234.24,Yes,Female,No,Yes,No,0
Yes,9,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115.8,8476.5,0,0,884.88,No,Female,No,Yes,Yes,2
No,0,52,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,85.15,4461.85,0,124.93,1665.04,No,Male,No,No,No,0
No,0,2,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,24.85,62,0,0,80.5,No,Male,No,No,No,0
No,0,5,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,64.35,352.65,0,78,41.6,No,Female,No,No,No,0
No,0,68,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.5,1424.9,0,0,3291.88,No,Female,No,No,No,0
No,0,72,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,86.05,6309.65,0,447.99,3481.92,Yes,Male,No,No,No,0
Yes,10,66,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,89,5898.6,0,0,2467.08,No,Female,No,Yes,No,0
Yes,9,72,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,64.8,4719.75,0,850,0,No,Male,No,Yes,No,0
No,0,26,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.8,457.3,0,0,1188.2,No,Male,No,No,No,0
Yes,2,64,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Yes,No,Two Year,No,Bank Withdrawal,93.4,5822.3,0,640,1972.48,No,Male,No,Yes,Yes,1
Yes,6,62,No,No,Yes,Cable,No,No,No,Yes,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,39,2337.45,0,93,0,No,Male,No,Yes,No,0
No,0,5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.5,104.3,0,0,123.05,No,Female,No,No,No,0
No,0,3,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,26.4,121.25,0,0,101.61,No,Male,No,No,Yes,1
Yes,1,72,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,98.2,7015.9,0,210,1834.56,No,Female,No,Yes,No,0
Yes,1,57,Yes,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,97.55,5598,0,4087,238.26,Yes,Male,No,Yes,Yes,3
No,0,66,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.95,1269.1,0,0,2504.04,No,Male,No,No,Yes,1
No,0,45,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,99.7,4634.35,0,0,1059.3,No,Male,No,No,Yes,2
No,0,3,No,No,Yes,Cable,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,34.8,113.95,0,0,0,Yes,Female,No,No,No,0
No,0,51,No,No,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,60.15,3077,0,0,0,No,Female,No,No,No,0
No,0,60,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,One Year,No,Bank Withdrawal,64.75,4039.5,0,1091,2277,Yes,Female,No,No,No,0
No,0,33,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.65,1665.2,0,0,195.03,No,Male,No,No,No,0
Yes,1,67,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,111.25,7511.65,0,0,2347.01,No,Female,No,Yes,No,0
Yes,1,49,No,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.8,1782,0,0,0,Yes,Female,No,Yes,No,0
No,0,1,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.05,20.05,0,0,3.23,No,Male,No,No,No,0
Yes,1,37,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0,165.63,1591.37,Yes,Male,No,Yes,Yes,3
Yes,1,31,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.3,2823,0,0,643.56,No,Male,No,Yes,Yes,3
Yes,1,63,Yes,Yes,Yes,Cable,No,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,81.2,4965.1,0,0,2447.55,No,Female,No,Yes,No,0
No,0,30,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,94.3,2679.7,0,750,1249.8,No,Male,No,No,No,0
Yes,1,71,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.1,8310.55,0,0,2401.93,Yes,Male,No,Yes,No,0
No,0,53,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,No,Bank Withdrawal,105.55,5682.25,0,1080,684.76,No,Female,No,No,No,0
Yes,1,50,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.4,4914.9,0,0,879,Yes,Male,No,Yes,No,0
No,0,2,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.5,27.55,0,0,54.34,Yes,Female,No,No,No,0
Yes,1,56,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.6,6068.65,0,0,1909.6,No,Female,No,Yes,No,0
Yes,1,67,Yes,No,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,81.35,5398.6,0,0,3031.75,No,Male,No,Yes,No,0
No,0,4,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,56.4,234.85,0,70,83.04,No,Male,No,No,No,0
No,0,19,Yes,No,Yes,Cable,No,Yes,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,65.35,1231.85,0,74,794.01,No,Male,No,No,No,0
No,0,8,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,170.9,0,0,366.96,Yes,Female,No,No,Yes,3
No,0,71,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,111.25,7984.15,0,4232,2976.32,Yes,Female,No,No,No,0
Yes,1,72,Yes,Yes,Yes,Cable,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.1,7848.5,0,0,840.24,No,Male,No,Yes,Yes,1
No,0,12,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.05,267,0,0,199.08,No,Male,No,No,No,0
Yes,1,72,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.2,1798.9,0,0,2020.32,Yes,Male,No,Yes,Yes,2
No,0,72,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,65.55,4807.45,0,481,0,No,Male,No,No,No,0
No,0,26,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.7,2193,0,0,536.64,No,Female,No,No,No,0
No,0,21,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Credit Card,104.55,2239.4,0,605,762.51,No,Female,No,No,No,0
Yes,1,60,Yes,Yes,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,24.15,1505.9,0,0,985.2,Yes,Male,No,Yes,No,0
No,0,12,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.45,255.35,0,0,493.32,Yes,Male,No,No,No,0
Yes,1,16,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.4,1189.4,0,54.71,413.28,Yes,Male,No,Yes,No,0
Yes,1,63,Yes,Yes,Yes,Cable,Yes,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,79.7,4786.15,0,1149,3092.04,No,Female,No,Yes,No,0
Yes,1,32,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,76.3,2404.15,0,45.68,1037.76,No,Female,No,Yes,Yes,1
Yes,6,68,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,103.75,7039.45,0,3731,1094.12,No,Female,No,Yes,Yes,3
No,0,30,Yes,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,86.45,2538.05,0,0,1452.9,No,Female,No,Yes,Yes,3
No,0,16,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.1,1212.85,0,30.32,608.32,No,Female,No,No,No,0
No,0,33,Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,80.6,2651.1,0,0,1150.05,No,Male,No,No,No,0
Yes,3,72,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.3,1304.8,0,0,187.92,No,Male,No,Yes,No,0
No,0,12,No,No,Yes,DSL,Yes,No,No,Yes,No,No,No,No,One Year,Yes,Mailed Check,33.6,435.45,0,83,0,No,Female,No,No,No,0
Yes,8,10,Yes,No,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,No,Mailed Check,80.85,808.5,0,40,310.9,No,Female,No,Yes,No,0
Yes,6,65,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Credit Card,108.05,7118.9,0,1068,2687.1,No,Female,No,Yes,No,0
No,0,15,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.9,320.45,0,0,41.1,No,Female,No,No,No,0
No,0,24,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,21.05,531.55,0,0,1135.44,No,Female,No,No,No,0
No,0,13,No,No,Yes,DSL,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,30.15,382.2,0,73,0,No,Female,No,No,Yes,2
No,0,24,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,79.85,2001,0,0,847.2,Yes,Male,No,No,No,0
Yes,6,72,No,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,65.5,4919.7,0,0,0,No,Female,No,Yes,No,0
Yes,3,54,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.1,5645.8,0,4291,2286.9,No,Female,No,Yes,Yes,3
Yes,4,4,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.5,77.6,0,0,14.52,No,Male,No,Yes,Yes,2
Yes,8,35,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.5,759.35,0,0,1656.55,No,Male,No,Yes,Yes,1
No,0,8,Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.6,535.55,0,0,89.6,No,Female,No,No,No,0
No,0,22,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,55.1,1253.15,0,0,816.42,No,Male,No,No,No,0
No,0,15,Yes,No,Yes,Cable,Yes,No,Yes,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,58.95,955.15,0,105,458.1,No,Female,No,No,No,0
No,0,22,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.1,2162.6,0,0,245.3,No,Male,No,No,No,0
No,0,71,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,25.45,1813.35,0,0,294.65,No,Female,No,Yes,Yes,2
No,0,4,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,56.75,245.15,0,0,138.76,Yes,Male,No,No,No,0
No,0,25,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,81.75,2028.8,0,467,630,No,Male,No,No,No,0
Yes,7,32,Yes,No,Yes,Cable,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.1,2723.75,0,0,853.12,No,Female,No,Yes,Yes,3
No,0,17,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Mailed Check,20.5,365.8,0,0,725.22,No,Male,No,No,No,0
No,0,3,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.85,60.65,0,0,58.74,No,Male,No,No,Yes,3
No,0,71,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,77.35,5550.1,0,0,1292.2,No,Female,No,No,No,0
Yes,1,49,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,4733.1,0,0,2311.33,No,Male,No,Yes,No,0
No,0,58,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,No,Two Year,No,Bank Withdrawal,70.1,4048.95,0,2794,2753.26,Yes,Male,No,No,No,0
Yes,4,59,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,75.95,4542.35,0,999,488.52,No,Female,No,Yes,No,0
No,0,11,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.25,888.65,0,0,371.69,No,Female,No,No,No,0
Yes,5,35,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,One Year,Yes,Bank Withdrawal,54.95,1916,0,1130,1476.3,Yes,Female,No,Yes,No,0
No,0,20,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.5,413,0,0,219.4,Yes,Female,No,No,No,0
